分機號碼,C端子位置,LENS,線組編號(機房),線組編號(現場),使用單位,裝機位置,副機數量,連絡電話
"9
(551)",,,1F - 3,,A22,一行一F總機室,0.0,
"110
(552)",,,G - 62,,A4,A4安管中心,0.0,2100
"119
(553)",,,G - 55,,A4,A4消防站,0.0,2602
"200
(497)",,,"330P - 206
OG2 - 23",,W513,交換機房,0.0,
"222
(354)",0-73,86.0,"G - 52
430D - 208",,A25,"消防隊1F
診療所1F注射室、值班休息室",0.0,
300,0-17,20.0,"220D1 - 193
330F1 - 202",,W511,"氧氣一場電梯
一號主變電所",0.0,2383
301,0-18,21.0,E2 - 168,,W511,鋼板廠(變),0.0,
302,0-19,22.0,,,,,,
303,0-20,23.0,220D1 - 150,,W511,煉鋼廠(變),0.0,
304,0-21,24.0,E2 - 154,,W511,#1氧氣場(變),0.0,
305,0-22,25.0,,,W511,#2氧氣場(變),0.0,
306,0-23,26.0,430R - 52,,W511,第二主變電所(變),0.0,
307,0-24,27.0,230E1 - 99,,W511,冷軋場(變),0.0,
308,0-26,30.0,,,,,,
309,0-27,31.0,430B - 172,,W532,動力二廠工業廢水(控),0.0,5581
310,0-28,32.0,220J1 - 99,,W232,#2高爐(控),0.0,2991
311,0-29,33.0,220J1 - 123,,W322,#1~3轉爐OG(控),2.0,
312,0-30,34.0,430C - 109,BOF - 403,W37,#4.5轉爐(控),1.0,"3262
3213"
313,0-31,35.0,220D1 - 157,,W541,#1氧氣場(控),0.0,2282
314,0-32,36.0,220D1 - 165,,W542,#2氧氣場(控),0.0,3088
315,0-33,37.0,220J1 - 115,,W37,#1脫硫場(控),0.0,2790
316,0-34,40.0,220J1 - 183,,W322,#1鎔銑(控),1.0,2347
317,0-35,41.0,430C - 110,BOF - 412,W372,#2鎔銑(控),0.0,3393
318,0-36,42.0,330K1 - 77,,W211,#2媒製備,0.0,3102
319,0-37,43.0,220D1 - 33,,T222,#1煉鋼化驗室(#1~3轉爐),0.0,2200
320,0-38,44.0,E2 - 290,,W332,#1扁鋼、鑄造,0.0,2363
321,0-39,45.0,220J1 - 104,,W353,#2扁鋼 MP - 1(控),0.0,2668
322,0-40,46.0,430C - 117,BOF - 533,W355,#3扁鋼 CP - 3(控),0.0,3260
323,0-41,47.0,430C - 114,BOF - 518,W342,#3扁鋼 CP - 2(控),0.0,2646
324,0-42,50.0,530A - 296,,W51,1.四號主變電梯專用     2.控制室,0.0,5660
325,0-43,51.0,,,,,,
326,0-44,52.0,430C - 123,BOF - 642,W372,#2脫硫場(控),0.0,3240
327,0-45,53.0,,,,,,
328,0-46,54.0,,,,,,
329,0-47,55.0,330K1 - 176,,W222,#4燒結場(控),0.0,
330,0-48,56.0,230B1 - 6,,Y521,CAL練續退火後段控制室,0.0,3464
331,0-49,57.0,220D1 - 65,,W441,小鋼胚加熱爐(控),0.0,2425
332,0-51,60.0,220D1 - 198,,W53,空壓站,0.0,
333,0-52,61.0,,,W511,#3主變2F,0.0,6800
334,0-53,62.0,E2 - 92,,W421,線材場(控),0.0,
335,0-54,63.0,E2 - 76,,W421,條鋼場加熱爐(控),0.0,2786
336,0-55,64.0,E2 - 72,,W421,條鋼場OS#5,0.0,
337,0-56,65.0,330F1 - 121,,W53,#1熱軋水場(控),0.0,2694
338,0-57,66.0,330N - 110,,W53,#2冷軋水場(控),0.0,2840
339,0-58,67.0,330F1 - 52,,Y411,熱軋爐溫(控),0.0,2860
340,0-59,70.0,,,,,,
341,0-60,71.0,,,,,,
342,0-61,72.0,,,,,,
343,0-62,73.0,,,,,,
344,0-63,74.0,,,,,,
345,0-64,75.0,,,,,,
346,0-65,76.0,,,,,,
347,0-66,77.0,,,,,,
348,0-67,80.0,230E1 - 121,,Y512,冷軋酸洗第一線,0.0,2715
349,0-68,81.0,230E1 - 132,,Y531,封盒退火(控),0.0,2747
350,0-69,82.0,330M - 274,,W433,球化場,0.0,
351,0-70,83.0,,,,,,
352,0-71,84.0,"220J1 - 10
220J1 - 100",,W232,#2高爐控制室(配料),1.0,
353,0-72,85.0,,,,,,
354,0-73,86.0,*LENS給#222使用,,,,,
355,0-74,87.0,,,,,,
356,0-76,90.0,430C - 106,BOF - 306,W374,#4、5扁鋼控制室,0.0,
357,0-77,91.0,430C - 101,BOF - 16,T25,W3新辦公室1F東側,0.0,
358,0-78,92.0,220J1 - 109,,T25,W3燒除R18休息室,0.0,2510
359,0-79,93.0,430C - 111,BOF - 414,T432,駐煉鋼二廠分析室(二廠W354天車待命室北側1F),0.0,
360,0-80,94.0,,,,,,
361,0-81,95.0,,,,,,
362,0-82,96.0,,,,,,
363,0-83,97.0,220I1-4,,W121,鐵路課2F,0.0,3400
364,0-84,100.0,,,,,,
365,0-85,101.0,,,,,,
366,0-86,102.0,220J1 - 165,,T25,SLAB 2、3號機,0.0,2778
367,0-87,103.0,220J1 - 110,,T25,精整線領班室,0.0,2510
368,0-88,104.0,430C - 121,BOF - 543,T25,三階T25硫印室,0.0,3191
369,0-89,105.0,230B1 - 182,,W74,綜合大樓4F西,0.0,2724
370,0-90,106.0,,,,,,
371,0-91,107.0,220D1 - 64,,T25,#3大鋼胚樓下(包商休息室),0.0,
372,0-92,110.0,430C - 102,BOF - 49,W3S,W3 2F,0.0,2985
373,0-93,111.0,430C - 107,BOF - 311,T25,W3 #4、5 S.C.C控制室,0.0,5282
374,0-94,112.0,430C - 119,BOF - 540,T25,三階精整H1股長室,0.0,2017
375,0-95,113.0,430C - 120,BOF - 542,T25,#2煉鋼三階H1檢驗站,0.0,
376,0-96,114.0,430C - 115,BOF - 527,T25,#2煉鋼三階H2檢驗站,0.0,
377,0-97,115.0,430C - 116,BOF - 529,W355,NO.4、5煉鋼精整CP1(控),0.0,
378,0-98,116.0,,,,,,
379,0-99,117.0,,,W513,機房,0.0,
380,1-01,140.0,J - 142,,W211,#1媒製備(控) A碼頭邊,0.0,
381,1-02,141.0,220D1 - 69,,W441,小鋼胚進料室,0.0,
382,1-03,142.0,220I1-9,,W121,鐵路調度室 2F 水場邊,0.0,2986
383,1-04,143.0,E2 - 163,,W411,鋼板場#2加熱爐,0.0,
384,1-05,144.0,E2 - 284,,W33,大鋼胚主控制室,0.0,3641
385,1-06,145.0,E2 - 298,,W33,焰切主控制室,0.0,
386,1-07,146.0,,,,,,
387,1-08,147.0,430B - 206,,W215,3、4階煉焦控制室邊CPQ控制室,0.0,
388,1-09,150.0,E2 - 271,,W331,一階大鋼胚課打號間 B2,0.0,3648
389,1-10,151.0,,,,,,
390,1-11,152.0,E2 - 273,,W331,#3大鋼胚焰切控制室,0.0,3648
391,1-12,153.0,E2 - 281,,W331,大鋼胚三號機主控制室,0.0,2487
392,1-13,154.0,E2 - 239,,W423,第二條線加熱爐控制室,0.0,3626
393,1-14,155.0,E2 - 209,,W423,第二條線CP2控制室,0.0,3626
394,1-15,156.0,E2 - 142,,W412,鋼板場正常化爐控制室,0.0,
395,1-16,157.0, ,,,,,
396,1-17,180.0,J - 23,,W113,N0.3挖料機,0.0,
397,1-18,181.0,,,,,,
398,1-19,182.0,F1 - 2,,W53,RW原水區,0.0,
399,1-20,183.0,"330P - 209
OG2 - 9",,W513,UDC 2F,0.0,2125
400,1-21,184.0,J - 301,,W2S,W2辦2F電腦室203R,0.0,
401,1-22,185.0,330N - 218,,Y523,NO.2 CAL 後段控制室,0.0,
402,1-23,186.0,330N - 101,,W53,第二冷軋水場控制室,0.0,
403,1-24,187.0,220J1 - 103,,W322,#1脫硫站2F控制室,0.0,
404,1-26,190.0,,,,,,
405,1-27,191.0,,,,,,
406,1-28,192.0,230A2 - 106,,Y9,二行政5F中南,0.0,
407,1-29,193.0,E2 - 45,,W433,球化場新加熱爐,0.0,3267
408,1-30,194.0,220J1 - 111,,W323,#3RH南邊現場office2、3樓,0.0,
409,1-31,195.0,220J1 - 101,,W323,#3RH控制室,0.0,
410,1-32,196.0,220J1 - 107,,W323,#1RH控制室,0.0,
411,1-33,197.0,220J1 - 186,,W323,LF精煉控制室,0.0,
412,1-34,220.0,J - 194,,W53,生化水場控制室3F,0.0,
413,1-35,221.0,330N - 115,,W563,W53水場1F,0.0,
414,1-36,222.0,430A - 158,,W56,W56工寮,1.0,
415,1-37,223.0,330F1 - 139,,W563,熱軋水場控制室1F,0.0,
416,1-38,224.0,330K1 - 93,,W115,3號電氣室4階CCR控制室,0.0,
417,1-39,225.0,220I1-44,,W53,水場office1樓,0.0,
418,1-40,226.0,220J1 - 153,,W332,一階NO.2 SLAB CC 焰切控制室,0.0,2846
419,1-41,227.0,430R - 112,,W355,#4轉爐精整控制室,0.0,
420,1-42,230.0,430C - 7,,W241,四號高爐控制室,0.0,
421,1-43,231.0,430C - 8,,W241,四號高爐控制室,0.0,
422,1-44,232.0,430R - 134,,T25,#6 S.C.C 控制室 4F,0.0,6246
423,1-45,233.0,430R - 114,,T25,四階精整檢驗室,0.0,
424,1-46,234.0,330N - 129,330Q - 92,Y482,精整控制室,0.0,
425,1-47,235.0,330N - 130,330Q - 102,Y482,四階盤捲控制室,0.0,
426,1-48,236.0,330N - 123,330Q - 53,Y482,四階粗軋控制室,0.0,
427,1-49,237.0,220J1 - 196,,W323,一階LADEL休息室,1.0,
428,1-51,1000.0,330K1 - 166,,W222,NO.4 燒結控制室,0.0,
429,1-52,1001.0,430C - 36,,W242,四號高爐東、西邊出鐵間,1.0,
430,1-53,1002.0,330K - 24,,W241,三號高爐東、西邊出鐵間,1.0,
431,1-54,1003.0,J - 302,,W231,一號高爐東、西邊出鐵間,1.0,
432,1-55,1004.0,220J1 - 36,,W232,二號高爐東、西邊出鐵間,1.0,2706
433,1-56,1005.0,220D1 - 168,,W54,#3氧氣場控制室,0.0,
434,1-57,1006.0,330K1 - 84,,W132,廢雜料收回工廠控制室,0.0,6275
435,1-58,1007.0,E2 - 283,,T25,B.C.C #1、2號切片機,0.0,
436,1-59,1010.0,430C - 127,BOF - 682,W372,#3溶銑坑控制室,1.0,
437,1-60,1011.0,330P - 194,,W223,#1燒結拌料場,0.0,2845
438,1-61,1012.0,,,,,,
439,1-62,1013.0,430B - 235,,W214,3、4階煉焦2F值班室,0.0,
440,1-63,1014.0,230B1 - 74,,Y534,鍍鋅中段控制室,0.0,
441,1-64,1015.0,330K1 - 168,,W222,NO.3 燒結3.5階廢棄處理,0.0,
442,1-65,1016.0,430C - 105,BOF - 305,W374,三階扁鋼胚5號機一切控制室,0.0,
443,1-66,1017.0,430C - 108,BOF - 312,W374,三階扁鋼胚4號機焰切cp控制室,0.0,3324
444,1-67,1020.0,,,,,,
445,1-68,1021.0,430C - 128,BOF - 734,W37,KR控制室,0.0,
446,1-69,1022.0,230E1 - 285,,Y514,RCM主控制室2F,0.0,3876
447,1-70,1023.0,230E1 - 264,,Y514,ACL主控制室,0.0,3837
448,1-71,1024.0,330K - 87,,中石化公司,南門廠外,0.0,
449,1-72,1025.0,430C - 112,BOF - 426,W373,三階轉爐L/D新調度室,0.0,3334
450,1-73,1026.0,220J1 - 195,,W323,#1轉爐第二LF精整站,0.0,5324
451,1-74,1027.0,220D1 - 15,,T43,T43化驗室1F南邊,0.0,
452,1-76,1030.0,J - 11,,W113,CCR 5F SR控制室,0.0,
453,1-77,1031.0,430R - 226,,W355,#7 扁鋼胚控制室,0.0,
454,1-78,1032.0,,,,,,
455,1-79,1033.0,,,W511,調度中心,,
456,1-80,1034.0,"330P - 233
OG2 - 33",,W5,UDC 3F 指揮中心,0.0,
457,1-81,1035.0,220J1 - 108,,W353,#2轉爐 CP2,0.0,3775
458,1-82,1036.0,J - 17,,W113,CCR 5F 控制室,0.0,
459,1-83,1037.0,430R - 117,,W355,#7 S.C.C CCP控制室,0.0,3851
460,1-84,1040.0,530A - 222,,W4,線二場 CP1進料控制室,0.0,3676
461,1-85,1041.0,430R - 233,,W511,#7扁鋼胚電氣室3F,0.0,5611
462,1-86,1042.0,330K1 - 184,,W511,#4燒結電氣室,0.0,
463,1-87,1043.0,430R - 299,,W511,#2BOP變電所2F,0.0,6428
464,1-88,1044.0,330K - 46,,W511,#2動力場電氣室3F,0.0,
465,1-89,1045.0,220D1 - 123,,W511,2CGL變電所W4辦北,0.0,
466,1-90,1046.0,530G - 295,,W511,第三冷軋變電所4F,0.0,5812
467,1-91,1047.0,330F1 - 42,,Y412,精軋控制室,0.0,2870
468,1-92,1050.0,,,,,,
469,1-93,1051.0,,,,,,
470,1-94,1052.0,,,,,,
471,1-95,1053.0,,,,,,
472,1-96,1054.0,,,,,,
473,1-97,1055.0,,,,,,
474,1-98,1056.0,,,,,,
475,1-99,1057.0,,,,,,
476,2-01,1060.0,,,,,,
477,2-02,1061.0,,,,,,
478,2-03,1062.0,,,,,,
479,2-04,1063.0,,,,,,
480,2-05,1064.0,,,,,,
481,2-06,1065.0,,,,,,
482,2-07,1066.0,,,,,,
483,2-08,1067.0,,,,,,
484,2-09,1070.0,,,,,,
485,2-10,1071.0,,,,,,
486,2-11,1072.0,,,,,,
487,2-12,1073.0,,,,,,
488,2-13,1074.0,,,,,,
489,2-14,1075.0,,,,,,
490,2-15,1076.0,,,,,,
491,2-16,1077.0,,,,,,
492,2-17,1080.0,,,,,,
493,2-18,1081.0,,,,,,
494,2-19,1082.0,,,,,,
495,2-20,1083.0,,,,,,
496,2-21,1084.0,,,,,,
497,2-22,1085.0,*LENS給#200使用,,,,,
498,2-23,1086.0,"330P - 247
OG2 - 47",,W513,通訊課,0.0,
499,2-24,1087.0,"330P - 248
OG2 - 48",,W513,通訊課,0.0,
500,2-26,1090.0,"330P - 230
OG1 - 30",,W512,調度中心,0.0,
501,2-27,1091.0,"330P - 231
OG1 - 31",,W511,供電中心,0.0,
502,2-28,1092.0,J - 184,,W511,#1煉焦場(變),0.0,
503,2-29,1093.0,330N - 30,,W511,第二冷軋變電所值班室,0.0,
504,2-30,1094.0,J - 21,,W113,#1原料輸送5F,0.0,
505,2-31,1095.0,330P - 183,,W221,#1燒結場(控),0.0,
506,2-32,1096.0,330P - 192,,W221,#2燒結電控7F,0.0,
507,2-33,1097.0,J - 151,,W212,#1煉焦場(控),0.0,
508,2-34,1100.0,430B - 216,,W214,#2煉焦場2F(控),0.0,
509,2-35,1101.0,J - 303,,W231,#1高爐3F(控),0.0,
510,2-36,1102.0,330K - 13,,W241,#3高爐(控),0.0,
511,2-37,1103.0,330P - 152,,W325,石灰場(控),0.0,
512,2-38,1104.0,J - 161,,W251,#1媒化學(控),0.0,
513,2-39,1105.0,430B - 132,,W252,#2媒化學(控),0.0,
514,2-40,1106.0,J - 384,,W521,#1動力場(控),0.0,
515,2-41,1107.0,330K - 233,,W522,#2動力場(控),2.0,
516,2-42,1110.0,530A - 287,,W53,線二場水場3F(控),0.0,
517,2-43,1111.0,330K - 203,,W53,#2中央水場(控),0.0,
518,2-44,1112.0,330K - 4,,W241,#3高爐配料間,0.0,
519,2-45,1113.0,220J1 - 178,,W332,#2、3扁鋼鑄造,0.0,
520,2-46,1114.0,,,,,,
521,2-47,1115.0,"330P - 203
OG1 - 3",,W511,供電課,0.0,
522,2-48,1116.0,J - 304,,W2,#1高爐控制室3F(配料),0.0,
523,2-49,1117.0,J - 359,,W53,#1汙水處理 W.T. FB過濾控制室,0.0,
524,2-51,1140.0,430R - 133,,T25,4階SCC 4F主控制室,0.0,
525,2-52,1141.0,,,,,,
526,2-53,1142.0,,,,,,
527,2-54,1143.0,,,,,,
528,2-55,1144.0,,,,,,
529,2-56,1145.0,,,,,,
530,2-57,1146.0,,,,,,
531,2-58,1147.0,,,,,,
532,2-59,1150.0,,,,,,
533,2-60,1151.0,,,,,,
534,2-61,1152.0,,,,,,
535,2-62,1153.0,,,,,,
536,2-63,1154.0,,,,,,
537,2-64,1155.0,,,,,,
538,2-65,1156.0,,,,,,
539,2-66,1157.0,,,,,,
540,2-67,1180.0,,,,,,
541,2-68,1181.0,,,,,,
542,2-69,1182.0,,,,,,
543,2-70,1183.0,,,,,,
544,2-71,1184.0,,,,,,
545,2-72,1185.0,,,,,,
546,2-73,1186.0,,,,,,
547,2-74,1187.0,,,,,,
548,2-76,1190.0,,,,,,
549,2-77,1191.0,,,,,,
550,2-78,1192.0,,,,,,
551,2-79,1193.0,*LENS給#9使用,,,,,
552,2-80,1194.0,*LENS給#110使用,,,,,
553,2-81,1195.0,*LENS給#119使用,,,,,
554,2-82,1196.0,,,,,,
555,2-83,1197.0,,,,,,
556,2-84,1220.0,,,,,,
557,2-85,1221.0,,,,,,
558,2-86,1222.0,,,,,,
559,2-87,1223.0,,,,,,
560,2-88,1224.0,,,,,,
561,2-89,1225.0,,,,,,
562,2-90,1226.0,,,,,,
563,2-91,1227.0,,,,,,
564,2-92,1230.0,,,,,,
565,2-93,1231.0,,,,,,
566,2-94,1232.0,,,,,,
567,2-95,1233.0,,,,,,
568,2-96,1234.0,,,,,,
569,2-97,1235.0,,,,,,
570,2-98,1236.0,,,,,,
571,2-99,1237.0,,,,,,
572,3-01,2000.0,,,,,,
573,3-02,2001.0,,,,,,
574,3-03,2002.0,,,,,,
575,3-04,2003.0,,,,,,
576,3-05,2004.0,,,,,,
577,3-06,2005.0,,,,,,
578,3-07,2006.0,,,,,,
579,3-08,2007.0,,,,,,
580,3-09,2010.0,,,,,,
581,3-10,2011.0,,,,,,
582,3-11,2012.0,,,,,,
583,3-12,2013.0,,,,,,
584,3-13,2014.0,,,,,,
585,3-14,2015.0,,,,,,
586,3-15,2016.0,,,,,,
587,3-16,2017.0,,,,,,
588,3-17,2020.0,,,,,,
589,3-18,2021.0,,,,,,
590,3-19,2022.0,,,,,,
591,3-20,2023.0,,,,,,
592,3-21,2024.0,,,,,,
593,3-22,2025.0,,,,,,
594,3-23,2026.0,,,,,,
595,3-24,2027.0,,,,,,
596,3-26,2030.0,,,,,,
597,3-27,2031.0,,,,,,
598,3-28,2032.0,,,,,,
599,3-29,2033.0,,,,,,
,,2034.0,,,,,,
,,2035.0,,,,,,
,,2036.0,,,,,,
,,2037.0,,,,,,
